Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000649730500003,10.1016/j.landurbplan.2021.104118,MEDLINE:36569996,Effects of urban parks on residents' expressed happiness before and during the COVID-19 pandemic,"Cheng, Yingyi; Zhang, Jinguang; Wei, Wei; Zhao, Bing",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0713 Ecology; 0833 Urban and Rural Planning; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,212,n/a,n/a,2021,139,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000649730500003,35.931937,8.213865280151367,10.668524,3.87,16.9226,13.029,Domestic - Multiple,99.673,8.119
WOS:000550128400001,10.1016/j.landurbplan.2020.103841,n/a,Parks and safety: a comparative study of green space access and inequity in five US cities,"Williams, Tim G.; Logan, Tom M.; Zuo, Connie T.; Liberman, Kevin D.; Guikema, Seth D.",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,201,n/a,n/a,2020,137,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000550128400001,49.366279,10.37753677368164,20.27317,2.78,13.2016,6.7577,International - Bilateral,99.1204,6.142
WOS:000514248900001,10.1016/j.landurbplan.2019.103733,n/a,The peri-urbanization of Europe: A systematic review of a multifaceted process,"Shaw, Brian J.; van Vliet, Jasper; Verburg, Peter H.",LANDSCAPE AND URBAN PLANNING,0833 Urban and Rural Planning; 0705 Geography; 1305 Design; 0713 Ecology; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Review,196,n/a,n/a,2020,136,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000514248900001,93.428571,31.387096405029297,47.375,1.46,4.333,2.8707,International - Bilateral,93.5484,6.142
WOS:000508757000012,10.1016/j.landurbplan.2019.103708,n/a,"Locating the green space paradox: A study of gentrification and public green space accessibility in Philadelphia, Pennsylvania","Pearsall, Hamil; Eller, Jillian K.",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,195,n/a,n/a,2020,132,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000508757000012,49.366279,10.37753677368164,7.286685,2.67,12.7198,18.1152,Domestic - Single,99.0528,6.142
WOS:000808177800001,10.1016/j.landurbplan.2022.104482,n/a,How do different types and landscape attributes of urban parks affect visitors? positive emotions?,"Kong, Lingqiang; Liu, Zhifeng; Pan, Xinhao; Wang, Yihang; Guo, Xuan; Wu, Jianguo",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,226,n/a,n/a,2022,132,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000808177800001,24.723077,6.8125,12.193694,5.34,19.3761,10.8253,International - Bilateral,99.8596,9.1
WOS:000528059000014,10.1016/j.landurbplan.2020.103794,n/a,Effects of building density on land surface temperature in China: Spatial patterns and determinants,"Song, Jinchao; Chen, Wei; Zhang, Jianjun; Huang, Ke; Hou, Boyan; Prishchepov, Alexander, V",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,198,n/a,n/a,2020,130,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000528059000014,49.366279,10.37753677368164,20.27317,2.63,12.5271,6.4124,International - Bilateral,98.9851,6.142
WOS:000550128400005,10.1016/j.landurbplan.2020.103823,n/a,A systematic map of research exploring the effect of greenspace on mental health,"Collins, Rebecca M.; Spake, Rebecca; Brown, Kerry A.; Ogutu, Booker O.; Smith, Dianna; Eigenbrod, Felix",LANDSCAPE AND URBAN PLANNING,0833 Urban and Rural Planning; 0705 Geography; 0713 Ecology; 0834 Landscape Architecture; 1305 Design; 0830 Environmental Science and Engineering,Review,201,n/a,n/a,2020,128,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000550128400005,93.428571,31.387096405029297,35.166668,1.37,4.0781,3.6398,Domestic - Multiple,90.3226,6.142
WOS:000589911300003,10.1016/j.landurbplan.2020.103959,n/a,The role of 'nativeness' in urban greening to support animal biodiversity,"Berthon, Katherine; Thomas, Freya; Bekessy, Sarah",LANDSCAPE AND URBAN PLANNING,0713 Ecology; 0705 Geography; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Review,205,n/a,n/a,2021,124,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000589911300003,85.428571,33.680850982666016,35.0,1.45,3.6816,3.5429,Domestic - Single,95.7447,8.119
WOS:000532674300003,10.1016/j.landurbplan.2020.103836,n/a,Spending time in the garden is positively associated with health and wellbeing: Results from a national survey in England,"de Bell, Sian; White, Mathew; Griffiths, Alistair; Darlow, Alison; Taylor, Timothy; Wheeler, Benedict; Lovell, Rebecca",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,200,n/a,n/a,2020,124,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000532674300003,49.366279,10.37753677368164,11.716374,2.51,11.9489,10.5835,Domestic - Multiple,98.9175,6.142
WOS:000728115700003,10.1016/j.landurbplan.2021.104305,n/a,Evaluation of the policy-driven ecological network in the Three-North Shelterbelt region of China,"Mu, Haowei; Li, Xuecao; Ma, Haijiao; Du, Xiaoping; Huang, Jianxi; Su, Wei; Yu, Zhen; Xu, Chen; Liu, Hualiang; Yin, Dongqin; Li, Baoguo",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,218,n/a,n/a,2022,123,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000728115700003,24.723077,6.8125,9.160919,4.98,18.055,13.4266,Domestic - Multiple,99.7893,9.1
