Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000596969400001,10.1080/1472586X.2020.1840085,n/a,Thinking with the drone - visual lessons in aerial and volumetric thinking,"Jensen, Ole B.",VISUAL STUDIES,1301 Art Theory,Article,35,5,417-428,2020,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000596969400001,3.603175,3.668192148208618,7.131805,4.16,4.0892,2.1033,Domestic - Multiple,94.3707,n/a
WOS:000663703700006,10.1016/j.culher.2021.03.003,n/a,The equipment of a Germanic warrior from the 2nd-4th century AD: Digital reconstructions as a research tool for the behaviour of archaeological costumes,"Moskvin, Aleksei; Wijnhoven, Martijn A.; Moskvina, Mariia",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,49,n/a,48-58,2021,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000663703700006,12.589928,2.7879981994628906,6.93617,1.19,5.3802,2.1626,International - Bilateral,95.7512,3.229
WOS:000811239900008,10.1037/aca0000314,n/a,The Use of Drawing as an Emotion Regulation Technique With Children,"Brechet, Claire; D'Audigier, Lucie; Audras-Torrent, Lee",PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,1301 Art Theory; 0402 Psychology,Article,16,2,221-232,2022,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000811239900008,8.098361,1.7202558517456055,3.994253,1.85,8.7196,3.7554,Domestic - Multiple,97.3987,3.6
WOS:000942487300009,10.1037/aca0000341,n/a,The Relationship Between Lifetime Book Reading and Empathy in Adolescents: Examining Transportability as a Moderator,"Lenhart, Jan; Dangel, Julia; Richter, Tobias",PSYCHOLOGY OF AESTHETICS CREATIVITY AND THE ARTS,1301 Art Theory; 0402 Psychology,Article,16,4,679-693,2022,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000942487300009,8.098361,1.7202558517456055,1.5335969,1.85,8.7196,9.7809,Domestic - Single,97.3987,3.6
WOS:000717354900001,10.1080/10632921.2021.1942361,n/a,"The Impacts of Public Art on Cities, Places and People's Lives","Cheung, Ming; Smith, Natasha; Craven, Owen",JOURNAL OF ARTS MANAGEMENT LAW AND SOCIETY,1301 Art Theory,Article,52,1,37-50,2021,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000717354900001,2.851852,2.7879981994628906,5.8033333,5.26,5.3802,2.5847,Domestic - Multiple,95.7512,n/a
WOS:000584547000004,10.1016/j.culher.2020.04.018,n/a,Temporal stability of discrete choice values for preserving a cultural landscape: The Alto Douro Wine Region,"Lourenco-Gomes, Lina; Costa Pinto, Ligia M.; Rebelo, Joao; Goncalves, Tania",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,45,n/a,327-333,2020,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000584547000004,15.888889,3.668192148208618,7.131805,0.94,4.0892,2.1033,Domestic - Multiple,94.3707,2.955
WOS:000560473800005,10.1016/j.culher.2020.01.011,n/a,Stratigraphic analysis of historical wooden samples from ancient bowed string instruments by laser induced breakdown spectroscopy,"Poggialini, F.; Fiocco, G.; Campanella, B.; Legnaioli, S.; Palleschi, V.; Iwanicka, M.; Targowski, P.; Sylwestrzak, M.; Invernizzi, C.; Rovetta, T.; Albano, M.; Malagodi, M.",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,44,n/a,275-284,2020,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000560473800005,15.888889,3.668192148208618,7.0582523,0.94,4.0892,2.1252,International - Bilateral,94.3707,2.955
WOS:000663704700005,10.1016/j.culher.2021.01.012,n/a,Spatial risk assessment and the protection of cultural heritage in southern Tajikistan,"Nebbia, Marco; Cilio, Federica; Bobomulloev, Bobomullo",JOURNAL OF CULTURAL HERITAGE,1301 Art Theory; 0601 Archaeology; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,49,n/a,183-196,2021,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000663704700005,12.589928,2.7879981994628906,6.93617,1.19,5.3802,2.1626,International - Bilateral,95.7512,3.229
WOS:000505619300007,10.1080/10350330.2018.1547490,n/a,RuPaul realness: the neoliberal resignification of ballroom discourse,"Heller, Meredith",SOCIAL SEMIOTICS,1301 Art Theory; 0503 Journalism and Communication,Article,30,1,133-147,2020,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000505619300007,9.349398,3.668192148208618,3.0760667,1.6,4.0892,4.8764,Domestic - Single,94.3707,1.32
WOS:000758584800002,10.1016/j.culher.2021.11.013,n/a,"Resilience and sustainability assessment of cultural heritage and built environment: The Libertad pedestrian walkway in Valdivia, Chile","Pizarro-Reyes, L.; Diaz-Lazcano, V; Zumelzu, A.; Prieto, A. J.",JOURNAL OF CULTURAL HERITAGE,0601 Archaeology; 1301 Art Theory; 0708 Geophysics; 0703 Chemistry; 0805 Materials Science and Engineering,Article,53,n/a,154-164,2022,15,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000758584800002,9.037037,1.7202558517456055,3.994253,1.66,8.7196,3.7554,Domestic - Multiple,97.3987,3.1
